$id,test,$createdAt,$updatedAt,name,description,category,type,price,billing_interval,features,is_active
EBOOK-001,Health Product 001,,,"Mental Clarity Formula + Worksheet","E-book with practical techniques for focus and mental clarity. Includes an exclusive worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Bonus material",true
EBOOK-002,Health Product 002,,,"24H Energy Code + Worksheet","Guide to optimizing your daily routine for sustained energy. Comes with a customizable energy planner worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Action plan",true
EBOOK-003,Health Product 003,,,"Indestructible Mind + Worksheet","Build resilience and unshakeable mental strength. Includes a resilience training worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Practical exercises",true
EBOOK-004,Health Product 004,,,"Smart Body Program + Worksheet","Holistic health program combining nutrition and movement. Includes a progress tracking worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Meal & workout planner",true
EBOOK-BUNDLE-001,Health Product 005,,,"4 Powerful Guides + 4 Worksheets","Complete bundle of all 4 health e-books with their respective worksheets. Best value package.",SanusAI Health,E-Book Bundle,34.99,one-time,"4 E-books (PDF), 4 Worksheets (Excel/Google Sheets), Exclusive bundle bonuses",true
HEALTH-LIFETIME,Health Product 006,,,"Health Lifetime Access","Lifetime access to all current and future SanusAI Health digital products, updates, and exclusive content.",SanusAI Health,Lifetime Membership,425.90,one-time,"All health e-books, All worksheets, Future content, Priority updates, Exclusive community",true
HEALTH-MONTHLY-001,Health Product 007,,,"Smart Health Plan","Monthly health subscription with access to 1 premium e-book + worksheet each month.",SanusAI Health,Subscription,14.95,monthly,"Monthly e-book + worksheet, Basic health tips, Email support",true
HEALTH-MONTHLY-002,Health Product 008,,,"Pro Active Health Plan","Monthly subscription with 2 premium e-books + worksheets monthly and advanced health guides.",SanusAI Health,Subscription,24.90,monthly,"2 monthly e-books + worksheets, Advanced guides, Priority email support, Webinars",true
HEALTH-MONTHLY-003,Health Product 009,,,"Elite Life Health Plan","Premium monthly subscription with all health content, personalized plans, and VIP support.",SanusAI Health,Subscription,69.90,monthly,"All monthly content, Personalized health plans, 1-on-1 consultation (quarterly), VIP support, Early access",true
HEALTH-QUARTERLY-001,Health Product 010,,,"Smart Health Plan (3 Months)","3-month health subscription with access to 1 premium e-book + worksheet each month.",SanusAI Health,Subscription,39.90,quarterly,"3 e-books + worksheets, Basic health tips, Email support, 10% discount vs monthly",true
